rank,id,score
337,9392,329.7380585516179
338,4226,329.32202988602415
339,4725,329.23775959248377
340,7218,329.03933229355573
341,5748,328.5227696321299
342,8554,328.3854886672243
343,0039,327.4744293613097
344,4227,327.47183065463935
345,7573,325.8901883519833
346,1901,325.70559487083784
347,5050,325.5099187118653
348,2700,325.37190341826545
349,3466,324.3065991543125
350,7787,323.9341046165957
351,3665,323.66040287127515
352,2884,321.71631885061817
353,3043,321.2724625013314
354,6223,320.42018587901924
355,9383,319.6768814366954
356,9722,318.8983646875581
357,4437,318.8730489528797
358,1576,318.4717153272317
359,4560,318.38180202613233
360,5335,318.3818020261323
361,4281,310.68165075283866
362,9647,308.91549207568886
363,6904,305.2063076507943
364,0945,292.58578867643485
365,7599,291.26486826220275
366,9759,288.89565708310715
367,5797,285.726113130005
368,1915,284.6319133905407
369,3873,284.14293876012346
370,0069,280.6569799510486
371,5728,279.12549980128836
372,2574,279.0923448045381
373,4806,278.31395132043633
374,5521,278.3134207386795
375,2977,274.9310283463599
376,3353,274.66631330950423
377,3381,273.6708003845722
378,0959,272.66728311033665
379,8405,271.23575101024966
380,8321,270.6044537646506
381,2805,270.08099210372063
382,0319,269.0562307752465
383,5759,269.0398186181401
384,2467,267.75600321241603
385,4273,267.6391754105072
386,7098,266.5548994325685
387,9180,266.1086359775289
388,4040,265.75443302645346
389,6326,265.74232150627876
390,0762,265.46709640796837
391,9779,263.6956693849061
392,6843,261.4259938977934
393,8904,260.9223735464238
394,6107,260.65276259962627
395,6141,260.6225825209787
396,9336,260.5933908491664
397,1768,260.2089062503395
398,2600,259.6654426314277
399,9017,259.532047035243
400,5795,259.1494231703717
401,6368,259.12527350490757
402,2220,258.6598662246887
403,3875,256.9395668088557
404,2854,256.93210700636143
405,5988,256.48598499654366
406,9961,256.36568364780743
407,9212,256.2854841404515
408,3177,256.2219845528286
409,0935,255.96004200458074
410,2049,255.94530048100086
411,1540,255.71048992472433
412,4645,255.17871116982073
413,9196,254.86456510697133
414,0089,254.72093305864615
415,0176,254.71432124038395
416,4566,254.5908633616508
417,1867,254.51184604297862
418,7987,254.4992510268811
419,0226,254.2704648910972
420,1970,254.04824703987123
421,3989,253.9283705583588
422,4776,253.82257100437693
423,6221,253.2355429699957
424,3148,253.1986095952823
425,2965,253.04018813733316
426,6853,252.78906482782187
427,0468,252.78797744879486
428,0450,252.11243249452693
429,0651,251.58889421660112
430,4574,251.47928062829416
431,1421,250.61691183748732
432,8564,250.39775948831638
433,3273,250.36367459319794
434,0649,250.33948211847482
435,7679,250.32664708607044
436,0040,249.17698389864773
437,7819,249.00443954207282
438,1025,248.90722309242938
439,7227,248.8177540873631
440,1721,248.74614205888662
441,4118,248.1516422039367
442,0508,247.98361845545816
443,1930,247.75709745653268
444,4167,247.55390382101658
445,5869,247.54888737776548
446,7171,247.41890261353447
447,8451,247.33130576644163
448,8931,246.75445751488056
449,4779,246.59912033715355
450,2857,246.3106011655938
451,3767,246.09509572653997
452,2901,246.03689942027327
453,8610,245.93136308331097
454,9832,245.41228825993193
455,5659,245.37643144411706
456,3631,245.2735658639669
457,5199,244.95520971067532
458,9496,244.82749840578697
459,6457,244.81894676893867
460,4758,244.61793268215504
461,3087,244.59798802283862
462,2099,244.51243796907264
463,7141,244.09100265212106
464,9902,244.0046996008848
465,4000,243.95057577935006
466,4707,243.76180180836695
467,9233,243.29166361709756
468,0831,243.0841900787346
469,5555,242.79160341715493
470,2023,242.57424155371197
471,2858,242.49828924150856
472,5136,242.4727210783301
473,3321,242.18260883945203
474,0409,241.91849510525287
475,5559,241.65406167861568
476,7885,241.56212498933584
477,6626,241.38001352329127
478,8960,241.31217324411156
479,3406,240.59528008427046
480,6048,240.54782264499295
481,8051,240.40536876721515
482,0112,240.27412089967243
483,4600,240.25074606421714
484,6923,240.03124446798503
485,9510,239.9148910883878
486,8753,239.58980305403003
487,5874,239.58008910041602
488,0373,239.23122506824015
489,6741,238.89239155187903
490,4034,238.67133008397758
491,7181,238.6606649090935
492,2950,238.26698171002352
493,5349,238.1484090965413
494,9894,238.01149016451654
495,7458,237.8385769993385
496,8988,237.47507185849474
497,4123,237.33156096957447
498,6701,237.28874783648178
499,6818,237.2352382640457
500,5597,237.07269706185153
501,3567,236.80082442993205
502,9568,236.50984991720003
503,4119,236.32939261952765
504,9472,235.94147714600132
505,5397,235.89569238566705
506,7952,235.79229182259277
507,8216,235.71575606958817
508,2827,235.66777540068077
509,9327,235.63346381885447
510,6429,235.5456065589834
511,9491,235.39694996254124
512,3611,235.38507780821237
513,0416,235.28106160022418
514,1019,235.18198641920202
515,9473,234.40386386355092
516,7841,234.24499106186045
517,9669,234.024502839151
518,2332,233.69002323265178
519,7923,233.5783775499867
520,8488,233.26228929294663
521,6743,233.20054430599816
